step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,,,,,,Quipus,"An ancient record-keeping method by the Incas 
By: Guadalupe Jimenez",,,,,,,,
2,haptic-khipu,0.5,0.5,1,,What is a Quipu?,A quipu (khipu) is an Incan form of record keeping. A knot would be created on a rope to represent a number.,,Learn more,blank_template-learn-more.md,,,,,
3,haptic-khipu,0.38607763860495303,0.4105432277840261,3.6015858885850682,,Quipucamayocs,The quipucamayoc was/were the individual(s) trained in the sacred art of recordkeeping through the quipu.,,Learn more,blank_template-step3-layer1.md,,,,,
4,haptic-khipu,0.47823117625945133,0.5698141998425512,2.673987742878617,,Unknown Meaning,"To this day, the true meaning of what the knots represent have not been deciphered.",,Learn more,blank_template-step4-layer1.md,,,,,
5,haptic-khipu,0.6792835083074142,0.36001728839866665,3.1009071914850392,,"How Quipus Connect to Other Forms of Inca Storytelling ","Quipus was not the only form of story telling/record keeping the Incas would use. They would also turn their memories into stories. 
",,Learn more,blank_template-how-they-connect.md,,,,,
6,haptic-khipu,0.47078665879417053,0.6616017319825075,2,,"“Unconventional” Writing ","The quipu is a form of writing without words. The Incas developed a “written” language that was conventional and worked for them.
",,Learn more,blank_template-the-importance-in.md,,,,,
7,,,,,,Codex Selden / Codex Añute,"The Codex Selden is a very detailed piece of writing; it is meant to be read in a certain order, gives names, status, locations, time, actions, etc. and it can all be understood as a cohesive storyline. It doesn’t have a single written word but they give immense amounts of detail that give us insight into the values of the pre-colonial city-states.
~ Aneli Cachu",,,,,,,,
8,codexseldenanute2,0.4998777705345507,0.5032157906409402,0.9000000000000001,,History of the Codex,"The codex comes from the city-state Jaltepec, also called Añute, meaning ""place of sand."" It was created shortly after 1556. It is sometimes called the Codex Añute, but more commonly it is referred to as the Codex Selden after English scholar John Selden. He possessed the document and made sure it would be donated to the University of Oxford upon his death.",,,,,,,,
9,codexseldenanute2,0.49654588584673337,0.499889110667554,0.9000000000000001,,Reading the Codex,"The codex is written as a storyline; it can't necessarily be read aloud in the way most readers are used to due to it's lack of words, but the conventions allow for the audience to have a consistent interpretation. It is meant to record history, not words. ",,,,,,,,
10,codexseldenanute2,0.4884694061941792,0.4956296694289232,1,,Where do we begin?,"In a pictorial writing system, it can be difficult to know where to begin reading, luckily, there is a convention that let's readers know what path to follow. This particular codex is read in a zig zag pattern, starting from the bottom left and heading right and up, following the path laid out by the red horizontal lines with loops at the end. ",,,,,,,,
11,codexseldenanute2,0.4713651069583274,0.8721445996895104,2.25,,When does this story take place?,"The story spans multiple years, each one being identified by a glyph. The glyph represents the year Nine Rabbit, the day and month are Eight Eagle. ",,,,,,,,
12,codexseldenanute2,0.7922563702347135,0.7902784087468517,1.5,,Who are these characters?,"We can identify characters based on the number of dots and symbols attached to the people, signifying the month and day that they were born. On the bottom right, we can see the birth of Six Monkey, we know she is being born because there is a symbol representing the placenta coming out of her bottom. ",,,,,,,,
13,codexseldenanute2,0.5121826658160061,0.6233902310990561,2.2612500000000004,,What kinds of actions are recorded?,"Here we can see two soldiers, carrying weapons and shields. We can tell the warrior on the right represents the winners in battle because he is gripping their opponents hair, a sign of military victory. ",,,,,,,,
14,codexseldenanute2,0.4153991004052343,0.405535606878368,2.25,,What kinds of actions are recorded?,"Here, we can see Lady Six Monkey speaking to her advisor. We know he is guiding her because of the speech glyphs coming from his mouth. We can tell by this scene that the writers in the Aztec empire cared more about recording the series of events, rather than the explicit details of what was said. ",,,,,,,,
15,codexseldenanute2,0.5,0.5,1,,,,,,,,,,,
16,,,,,,Codex Mendoza,"Created in 1542.  
Since 1659, the Codex has been in the Bodleian Library at Oxford University in the UK.  ",,,,,,,,
17,codex-mendoza-fol-5,0.4633486178234167,0.4387288267877796,4.796622267721609,,"Codex Mendoza & Speech ","The Codex Mendoza challenges contemporary understandings of not only writing, but also specifically the relationship between writing and speech.
",,Learn more,blank_template-step17-layer1.md,Go deeper,blank_template-go-deeper.md,,,
18,codex-mendoza-fol,0.5,0.5,1,,Codex Mendoza & Cultural History,"    While the Codex objectively functions pictorially, a closer look into the culture of the creators reveals a deep oral tradition.   ",,Learn more,blank_template-step18-layer1.md,Go deeper,blank_template-step18-layer2.md,,,
19,codex-mendoza-fol-3,0.5,0.5,1,,Codex Mendoza & Society,"     The Codex offers significant insight into precolonial livelihood—especially that of the Aztec empire.  ",,Learn more,blank_template-step19-layer1.md,Go deeper,blank_template-step19-layer2.md,,,
20,codex-mendoza-fol-4,0.5,0.5,1,,Codex Mendoza & Limitations,"     Genuine translation of the Codex for a Spanish understanding was a limitation for the translator, as there seemingly was no real agreement for such translational conventions except for that of legal conventions.  ",,Learn more,blank_template-step20-layer1.md,Go deeper,blank_template-step20-layer2.md,,,
